Temperature,Humidity,Wind Speed,Precipitation (%),Weather Type,Atmospheric Pressure,UV Index,Season,Visibility (km),Cloud Cover
14,73,9.5,82,Rainy,1010.82,2,Winter,3.5,partly cloudy
39,96,8.5,71,Cloudy,1011.43,7,Spring,10,partly cloudy
30,64,7,16,Sunny,1018.72,5,Spring,5.5,clear
38,83,1.5,82,Sunny,1026.25,7,Spring,1,clear
27,74,17,66,Rainy,990.67,1,Winter,2.5,overcast
32,55,3.5,26,Cloudy,1010.03,2,Summer,5,overcast
-2,97,8,86,Snowy,990.87,1,Winter,4,overcast
3,85,6,96,Snowy,984.46,1,Winter,3.5,partly cloudy
3,83,6,66,Snowy,999.44,0,Winter,1,overcast
28,74,8.5,107,Sunny,1012.13,8,Winter,7.5,clear
35,45,6,86,Cloudy,879.88,2,Spring,1,partly cloudy
38,43,2,16,Sunny,1029.16,11,Autumn,7.5,clear
12,59,10.5,25,Cloudy,1016.08,3,Autumn,5.5,partly cloudy
-10,87,15,67,Snowy,986.19,0,Winter,1.5,overcast
24,21,3.5,8,Sunny,1018.88,8,Winter,5.5,clear
10,50,6.5,46,Cloudy,1000.44,2,Summer,8.5,partly cloudy
30,27,7,13,Sunny,1016.38,5,Spring,7.5,partly cloudy
33,51,0.5,27,Cloudy,1009.18,3,Autumn,5.5,overcast
43,46,0.5,15,Sunny,1025.8,9,Spring,6,clear
13,102,12,72,Sunny,1012.25,4,Summer,8,clear
-10,67,8.5,75,Snowy,991.53,1,Winter,3,overcast
-7,88,12.5,98,Snowy,980.31,1,Winter,3,overcast
33,36,7.5,18,Sunny,1014.29,8,Summer,9.5,clear
26,73,13.5,29,Cloudy,1012.02,1,Summer,9,overcast
38,83,7,101,Cloudy,1017.94,4,Spring,8.5,partly cloudy
4,79,1,85,Snowy,982.53,1,Winter,4.5,partly cloudy
17,72,7.5,62,Rainy,1010.16,2,Summer,3,overcast
40,57,4,12,Sunny,1020.73,11,Winter,9.5,partly cloudy
24,61,6.5,3,Sunny,1018.15,7,Autumn,5.5,partly cloudy
30,70,16,54,Rainy,1007.75,0,Winter,3,partly cloudy
28,85,7,97,Rainy,991.07,1,Spring,2,overcast
2,61,16.5,63,Snowy,995.74,0,Winter,1,overcast
4,95,2.5,56,Snowy,984.63,1,Winter,4.5,overcast
15,97,23,91,Rainy,1009.36,13,Winter,2.5,overcast
29,69,3,15,Sunny,1012.09,10,Winter,5.5,clear
